flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
TG313,Boeing 777-200 / 200ER,False,True
MH123,Airbus A330-300,False,True
MH88,Airbus A350-900,False,True
TK55,Boeing 777-300ER,False,True
SV847,Boeing 787-10,False,True
TG656,Airbus A350-900,False,True
TK69,Airbus A330-300,False,True
TG331,Airbus A330-300,False,True
PR733,Airbus A321,False,False
MH609,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
QZ123,Airbus A320,False,False
MH1194,None,None,None
TG339,Boeing 787-8,False,True
TG682,Boeing 787-9,False,True
TK63,Boeing 777-300ER,False,True
BA12,Boeing 787-9,False,True
OZ752,Airbus A350-900,False,True
TG658,Airbus A350-900,False,True
D7288,Airbus A330-300,False,True
AF257,Boeing 777-300ER,False,True
BA16,Boeing 777-300ER,False,True
AK6034,Airbus A320,False,False
D7504,Airbus A330-300,False,True
MH7041,None,None,None
AI383,Airbus A320neo,False,False
BX726,Airbus A321neo,False,False
TK65,Airbus A330-300,False,True
NH850,Boeing 787-9,False,True
JL724,Boeing 787-8,False,True
TR566,Airbus A321neo,False,False
AK63,Airbus A320,False,False
FD352,Airbus A320,False,False
SQ636,Boeing 777-300ER,False,True
MH52,Airbus A330-300,False,True
SQ968,Boeing 777-300ER,False,True
MH135,None,None,None
AK720,Airbus A320,False,False
AY132,Airbus A350-900,False,True
KE644,Boeing 777-300,False,True
BX748,Airbus A321neo,False,False
LJ4,None,None,None
TG337,Boeing 787-8,False,True
AK29,Airbus A320,False,False
JL36,Boeing 787-9,False,True
SQ285,Airbus A350-900,False,True
SQ536,Boeing 737MAX 8 Passenger,False,False
MH149,Airbus A330-300,False,True
MH139,Airbus A330-300,False,True
NH844,Boeing 787-9,False,True
SQ526,Airbus A350-900,False,True
UA28,Boeing 787-9,False,True
TR808,Boeing 787-9,False,True
TG329,Boeing 787-8,False,True
OD162,Boeing 737MAX 8 Passenger,False,False
JQ8,Boeing 787-8,False,True
OZ754,Airbus A330-300,False,True
SQ468,Boeing 787-10,False,True
TR574,Airbus A320,False,False
JL34,Boeing 787-9,False,True
WE343,Airbus A320,False,False
OD231,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AK723,Airbus A320,False,False
HX766,Airbus A320,False,False
MH108,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
5J716,Airbus A320,False,False
QZ269,Airbus A320,False,False
AK5234,Airbus A320,False,False
SQ227,Airbus A350-900,False,True
IX689,None,None,None
VZ2104,Airbus A320,False,False
MH180,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH192,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
TG325,Airbus A350-900,False,True
VZ316,Airbus A320,False,False
SQ235,Airbus A350-900,False,True
OD806,Boeing 737MAX 8 Passenger,False,False
